ID,year,month,tifPath,Target,class
ID_h14T0B_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_h14T0B_2024_01.tif,Rubber,3
ID_KbyKOr_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_KbyKOr_2024_01.tif,Rubber,3
ID_t4Tmmn_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_t4Tmmn_2024_01.tif,Rubber,3
ID_yipWoC_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_yipWoC_2024_01.tif,Rubber,3
ID_XKiksa_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_XKiksa_2024_01.tif,Rubber,3
ID_zNx6qQ_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_zNx6qQ_2024_01.tif,Rubber,3
ID_KfCbOO_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_KfCbOO_2024_01.tif,Palm,2
ID_ZUfp59_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_ZUfp59_2024_01.tif,Palm,2
ID_DdAycp_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_DdAycp_2024_01.tif,Palm,2
ID_X9dg4u_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_X9dg4u_2024_01.tif,Rubber,3
ID_KmpsdP_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_KmpsdP_2024_01.tif,Rubber,3
ID_zQBRwA_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_zQBRwA_2024_01.tif,Rubber,3
ID_xUSwCk_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_xUSwCk_2024_01.tif,Rubber,3
ID_gwbXk8_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_gwbXk8_2024_01.tif,Rubber,3
ID_Fb9ZE5_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_Fb9ZE5_2024_01.tif,Palm,2
ID_SBD56I_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_SBD56I_2024_01.tif,Rubber,3
ID_7vucQ9_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_7vucQ9_2024_01.tif,Palm,2
ID_JYvjgw_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_JYvjgw_2024_01.tif,Rubber,3
ID_d4AUvT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_d4AUvT_2024_01.tif,Rubber,3
ID_qHSqbD_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_qHSqbD_2024_01.tif,Rubber,3
ID_njDllu_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_njDllu_2024_01.tif,Rubber,3
ID_b7J6Nq_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_b7J6Nq_2024_01.tif,Rubber,3
ID_WCmEEu_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_WCmEEu_2024_01.tif,Rubber,3
ID_cRnoWK_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_cRnoWK_2024_01.tif,Palm,2
ID_eAzoCs_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_eAzoCs_2024_01.tif,Rubber,3
