ID,month,B1_mean,B1_std,B1_min,B1_max,B1_median,B2_mean,B2_std,B2_min,B2_max,B2_median,B3_mean,B3_std,B3_min,B3_max,B3_median,B4_mean,B4_std,B4_min,B4_max,B4_median,B5_mean,B5_std,B5_min,B5_max,B5_median,B6_mean,B6_std,B6_min,B6_max,B6_median,B7_mean,B7_std,B7_min,B7_max,B7_median,B8_mean,B8_std,B8_min,B8_max,B8_median,B8A_mean,B8A_std,B8A_min,B8A_max,B8A_median,B9_mean,B9_std,B9_min,B9_max,B9_median,B11_mean,B11_std,B11_min,B11_max,B11_median,B12_mean,B12_std,B12_min,B12_max,B12_median,Crop,class
ID_yipWoC_Jan,Jan,2559.1108,28.09847,2530.0,2823.0,2555.0,2277.1003,32.87494,2210.0,2638.0,2273.0,2145.3406,40.5667,2031.0,2529.0,2144.0,1892.4064,49.50023,1779.0,2340.0,1885.0,2193.619,57.613506,1995.0,2684.0,2192.0,3258.0647,129.00093,2751.0,3763.0,3266.0,3764.3198,168.19331,3109.0,4307.0,3775.0,3599.293,191.101,2943.0,4547.0,3606.0,4158.3516,191.06078,3365.0,4828.0,4170.0,1409.1418,15.461435,1363.0,1492.0,1411.0,2981.663,139.27408,2476.0,3731.0,2978.0,1906.5609,87.35511,1695.0,2477.0,1896.0,Rubber,3
ID_KfCbOO_Jan,Jan,4412.24,496.0062,3406.0,5444.0,4367.0,4380.461,642.4509,2979.0,5801.0,4354.0,4334.2925,717.7535,2764.0,5924.0,4304.0,4563.704,887.0158,2609.0,6509.0,4527.0,4494.2993,856.8991,2595.0,6370.0,4436.0,5044.01,838.9768,3193.0,6873.0,4990.0,5500.9053,875.3424,3564.0,7432.0,5443.0,5142.392,824.89325,3298.0,6999.0,5103.0,5801.8687,929.70715,3688.0,7827.0,5728.0,1679.6248,141.35168,1402.0,2010.0,1662.0,5167.2896,983.6518,2716.0,7161.0,5151.0,4236.176,830.2943,2072.0,5860.0,4260.0,Palm,2
ID_ZUfp59_Jan,Jan,3119.697,593.1587,2584.0,4595.0,2810.0,2963.4856,760.8518,2267.0,4807.0,2545.0,2873.6848,825.24554,2106.0,4921.0,2407.0,2775.5137,1036.3043,1833.0,5394.0,2203.0,2971.7017,956.51917,2076.0,5426.0,2459.0,4060.8901,764.5111,3149.0,6162.0,3720.0,4644.361,733.7125,3666.0,6738.0,4364.0,4438.594,701.91754,3415.0,6423.0,4191.0,5034.122,734.9859,4006.0,7233.0,4757.0,1579.0842,170.7632,1394.0,2042.0,1495.0,3862.2644,1052.2502,2730.0,6633.0,3372.0,2835.8235,1114.4021,1759.0,5613.0,2238.0,Palm,2
ID_h14T0B_Jan,Jan,2573.0923,8.352156,2555.0,2605.0,2573.0,2267.8613,15.180915,2220.0,2401.0,2268.0,2097.7573,22.33317,2015.0,2248.0,2097.0,1835.7655,23.662539,1762.0,1993.0,1832.0,2043.4825,43.858723,1879.0,2180.0,2042.0,3151.499,138.042,2641.0,3540.0,3158.0,3691.4587,193.842,2961.0,4268.0,3708.0,3512.7056,212.82838,2738.0,4278.0,3520.0,4005.8394,225.2199,3117.0,4567.0,4023.0,1399.4937,20.399603,1342.0,1446.0,1402.0,2664.9092,129.55461,2061.0,3011.0,2675.0,1741.4237,75.16728,1464.0,1972.0,1735.0,Rubber,3
ID_KbyKOr_Jan,Jan,2536.7947,12.369866,2515.0,2574.0,2535.0,2249.0908,21.845272,2194.0,2330.0,2247.0,2103.6067,39.32088,2016.0,2217.0,2099.0,1856.5856,43.562878,1759.0,2091.0,1847.0,2129.4001,71.961006,1988.0,2307.0,2131.0,3182.0857,119.994705,2848.0,3554.0,3168.0,3695.5625,145.90054,3196.0,4177.0,3684.0,3527.604,168.17665,2976.0,4144.0,3516.0,4070.137,177.59962,3490.0,4630.0,4050.0,1394.8013,16.091917,1363.0,1437.0,1395.0,2919.966,151.45697,2476.0,3402.0,2903.0,1859.1257,97.01495,1642.0,2223.0,1842.0,Rubber,3
ID_DdAycp_Jan,Jan,3204.362,598.0725,2605.0,4452.0,2949.0,2975.0789,722.9378,2270.0,4593.0,2675.0,2858.986,805.7546,2052.0,4651.0,2530.0,2812.176,993.54034,1829.0,5001.0,2409.0,2900.0535,969.5045,1902.0,4977.0,2523.0,3602.7424,974.3813,2418.0,5680.0,3280.0,4013.965,1036.1315,2688.0,6226.0,3689.0,3744.1245,960.3139,2503.0,5899.0,3467.0,4267.121,1109.4064,2756.0,6616.0,3955.0,1481.3564,204.00487,1242.0,1942.0,1418.0,3391.897,1199.2267,1933.0,6156.0,3056.0,2664.8323,1071.5857,1456.0,5215.0,2330.0,Palm,2
ID_zNx6qQ_Jan,Jan,2474.249,10.6604395,2460.0,2520.0,2472.0,2178.7156,18.481964,2134.0,2319.0,2177.0,2017.11,28.504507,1928.0,2164.0,2017.0,1758.7551,29.652887,1685.0,1967.0,1755.0,1991.0884,50.215374,1824.0,2148.0,1996.0,3102.2307,147.93787,2585.0,3636.0,3100.0,3639.9497,200.57928,3041.0,4508.0,3639.0,3476.376,229.995,2706.0,4458.0,3465.0,3977.7048,232.96983,3252.0,4961.0,3981.0,1369.7843,14.622535,1335.0,1409.0,1370.0,2658.695,133.96967,2154.0,3065.0,2677.0,1704.2468,67.88509,1479.0,1929.0,1711.0,Rubber,3
ID_t4Tmmn_Jan,Jan,2530.2866,10.403985,2501.0,2600.0,2529.0,2249.944,24.179565,2187.0,2366.0,2247.0,2119.3372,44.42235,1989.0,2293.0,2116.0,1885.4717,62.233242,1756.0,2265.0,1876.0,2182.2764,77.00165,1893.0,2416.0,2183.0,3226.1155,231.12544,2420.0,3836.0,3223.5,3708.2402,310.67053,2684.0,4596.0,3707.0,3550.978,313.66824,2489.0,4545.0,3546.0,4069.9988,353.09506,2812.0,5067.0,4075.0,1433.3107,37.41481,1271.0,1497.0,1434.0,2978.021,241.32278,1977.0,3596.0,2988.0,1940.8265,145.27899,1460.0,2422.0,1937.0,Rubber,3
ID_XKiksa_Jan,Jan,2682.8823,279.12048,2526.0,3972.0,2577.0,2397.5918,364.70447,2194.0,4106.0,2256.0,2242.9766,404.0577,1995.0,4142.0,2089.0,2029.4625,500.2515,1749.0,4402.0,1837.0,2213.2996,486.69705,1868.0,4426.0,2049.0,3100.594,543.3094,2496.0,5221.0,2935.0,3519.4102,615.75507,2763.0,5771.0,3336.0,3330.7097,603.4086,2575.0,5508.0,3142.0,3770.8628,689.99316,2919.0,6128.0,3559.0,1361.729,102.036255,1259.0,1769.0,1327.0,2671.8386,785.5243,1980.0,5821.0,2401.0,1892.7155,639.4767,1446.0,4789.0,1669.0,Rubber,3
ID_KmpsdP_Jan,Jan,2467.4495,9.380209,2453.0,2489.0,2467.0,2164.8206,17.26414,2123.0,2222.0,2163.0,1968.2157,41.26217,1903.0,2086.0,1950.0,1734.1111,38.06282,1672.0,1862.0,1721.0,1882.7689,105.407486,1733.0,2110.0,1829.0,2634.236,344.0624,2168.0,3371.0,2479.0,2989.4775,467.80505,2337.0,4097.0,2775.0,2820.079,469.201,2193.0,4215.0,2584.0,3191.7766,567.16223,2439.0,4389.0,2939.0,1284.5375,63.305645,1208.0,1388.0,1271.0,2192.03,399.5133,1740.0,2897.0,1980.0,1528.3121,177.57256,1322.0,1925.0,1427.0,Rubber,3
